# Station: ANGERS-BEAUCOUZE (49) - Altitude: 50m - Latitude: 47°28'48"N - Longitude: 0°36'36"O
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,6.6,0,0,7.4,75.9,12.1,4.8,1.8,70.6,0.2,352.8,n/a,n/a,2.0
Février,7.0,0,0,6.3,58.8,10.2,3.7,1.3,99.1,0.3,309.2,n/a,n/a,1.8
Mars,9.4,0,0.1,2.8,52.2,9.6,3.1,1.1,146.7,0.1,266.6,n/a,n/a,0.6
Avril,11.6,0,1.0,0.7,53.6,9.4,3.2,1.2,180.2,0.0,193.5,n/a,n/a,0.1
Mai,15.1,0.3,3.9,0,63.2,9.2,3.8,1.6,206.9,0.0,101.5,n/a,n/a,0
Juin,18.2,1.6,8.2,0,44.2,6.9,2.4,0.9,224.8,0.0,39.0,n/a,n/a,0
Juillet,20.2,3.1,13.3,0,42.9,6.4,2.2,0.9,241.4,0.0,11.8,n/a,n/a,0
Août,20.2,3.1,13.5,0,40.9,6.2,2.1,0.9,237.1,0.0,10.0,n/a,n/a,0
Septembre,17.0,0.7,6.1,0,57.3,7.9,3.0,1.4,193.3,0.0,53.1,n/a,n/a,0
Octobre,13.5,0,0.9,0.3,84.5,10.9,4.6,2.2,123.6,0.1,144.2,n/a,n/a,0
Novembre,9.5,0,0,2.8,86.3,11.9,4.9,2.1,84.1,0.1,255.5,n/a,n/a,0.4
Décembre,7.1,0,0,6.6,86.5,12.2,4.8,2.0,69.9,0.2,338.5,n/a,n/a,1.3
