# Station: BREST-GUIPAVAS (29) - Altitude: 92m - Latitude: 48°27'13"N - Longitude: 4°23'28"O
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,7.1,0,0,3.8,142.6,18.0,9.5,4.7,61.2,0.3,337.2,n/a,n/a,1.3
Février,7.1,0,0,3.8,118.7,14.9,8.5,4.2,81.7,0.4,307.4,n/a,n/a,1.9
Mars,8.6,0,0,1.5,82.2,13.2,6.0,2.3,122.2,0.2,291.0,n/a,n/a,0.8
Avril,10.1,0,0.2,0.5,91.8,12.5,6.0,3.0,165.4,0.1,237.6,n/a,n/a,0.3
Mai,12.8,0,0.9,0.1,74.6,10.3,4.8,2.3,187.5,0.0,161.4,n/a,n/a,0.0
Juin,15.3,0.2,2.2,0,64.6,9.1,4.4,1.9,183.9,0.0,88.2,n/a,n/a,0.0
Juillet,17.0,0.4,3.6,0,70.7,10.6,4.3,2.2,180.1,0.0,44.9,n/a,n/a,0.0
Août,17.1,0.2,2.5,0,75.3,9.8,4.4,2.4,171.8,0.0,42.0,n/a,n/a,0.0
Septembre,15.4,0,1.7,0,78.6,10.1,5.2,2.3,158.4,0.0,83.6,n/a,n/a,0.0
Octobre,12.8,0,0.1,0.1,129.4,15.4,7.8,4.2,109.0,0.2,160.8,n/a,n/a,0.0
Novembre,9.8,0,0,0.8,146.7,17.9,9.9,5.0,72.3,0.2,246.4,n/a,n/a,0.4
Décembre,7.7,0,0,3.9,154.6,17.8,10.0,5.2,61.2,0.4,320.4,n/a,n/a,1.3
