# Station: CAEN-CARPIQUET (14) - Altitude: 67m - Latitude: 49°10'47"N - Longitude: 0°27'22"O
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,5.6,0,0,7.6,63.1,11.6,4.9,1.3,70.5,0.5,384.9,n/a,n/a,2.7
Février,5.9,0,0,6.9,52.8,11.2,3.7,1.0,90.2,0.4,341.2,n/a,n/a,3.3
Mars,8.0,0,0,3.6,49.7,10.0,3.4,1.3,130.0,0.1,311.1,n/a,n/a,1.6
Avril,10.0,0,0.2,1.3,53.4,10.0,3.7,1.2,179.1,0.1,241.2,n/a,n/a,0.6
Mai,13.0,0,1.3,0,59.4,9.5,4.1,1.9,203.4,0.0,157.5,n/a,n/a,0
Juin,15.9,0.9,3.5,0,58.0,8.6,3.5,1.6,212.6,0,75.4,n/a,n/a,0
Juillet,18.0,1.1,7.8,0,51.1,8.0,2.9,1.2,218.5,0,28.9,n/a,n/a,0
Août,18.3,1.6,7.7,0,59.6,8.3,3.5,1.7,204.8,0,25.7,n/a,n/a,0
Septembre,15.8,0.3,2.9,0,54.3,9.1,3.7,1.5,170.9,0,75.9,n/a,n/a,0
Octobre,12.5,0,0.4,0.4,78.9,12.2,5.4,2.3,117.1,0.2,170.1,n/a,n/a,0.1
Novembre,8.7,0,0,2.1,78.7,13.4,5.6,2.3,81.9,0.1,279.1,n/a,n/a,0.9
Décembre,6.1,0,0,6.8,81.3,14.2,5.9,2.1,67.2,0.5,369.7,n/a,n/a,2.7
