# Station: LYON-BRON (69) - Altitude: 200m - Latitude: 45°43'42"N - Longitude: 4°56'12"E
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,4.5,0,0,12.2,47.1,9.3,2.7,0.8,74.7,0.1,417.8,n/a,n/a,3.2
Février,5.7,0,0,9.5,44.2,8.3,2.7,0.8,101.7,0.3,347.2,n/a,n/a,3.0
Mars,9.5,0,0.2,4.0,48.7,8.6,3.1,1.0,168.4,0.1,264.7,n/a,n/a,0.9
Avril,12.8,0,2.4,0.9,72.6,9.7,4.2,2.1,196.3,0.0,158.6,n/a,n/a,0.1
Mai,16.8,1.2,8.0,0,86.7,10.1,5.3,2.7,221.0,0.0,70.0,n/a,n/a,0
Juin,20.7,4.9,16.3,0,76.3,8.6,4.4,2.2,254.0,0.0,15.1,n/a,n/a,0
Juillet,23.1,9.8,22.7,0,63.5,6.6,3.4,1.6,286.3,0.0,1.1,n/a,n/a,0
Août,22.7,9.1,22.2,0,63.6,6.7,3.3,1.7,264.5,0.0,1.5,n/a,n/a,0
Septembre,18.5,2.2,11.8,0,84.5,7.2,4.2,2.2,203.1,0.0,31.9,n/a,n/a,0
Octobre,13.9,0,1.9,0.8,95.2,9.4,4.8,2.6,137.9,0.1,133.2,n/a,n/a,0
Novembre,8.3,0,0,5.5,89.7,10.1,4.5,2.3,81.4,0.0,291.9,n/a,n/a,0.7
Décembre,5.2,0,0,10.4,55.6,9.9,2.8,1.2,61.1,0.1,396.6,n/a,n/a,2.3
