# Station: MONTPELLIER (34) - Altitude: 8m - Latitude: 43°34'33"N - Longitude: 3°57'40"E
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,8.3,0,0,2.1,66.1,6.6,3.3,1.6,142.8,0.2,298.7,n/a,n/a,0.3
Février,9.1,0,0.1,1.7,45.7,5.7,2.5,1.0,166.5,0.3,250.6,n/a,n/a,0.4
Mars,11.8,0,0.5,0.4,39.7,5.6,2.1,0.9,218.1,0.2,191.7,n/a,n/a,0
Avril,14.3,0,2.9,0,58.8,6.6,3.0,1.4,227.0,0.1,115.4,n/a,n/a,0
Mai,17.9,1.0,9.3,0,43.5,5.9,2.6,1.2,263.9,0.0,46.5,n/a,n/a,0
Juin,21.8,5.6,18.3,0,27.8,3.9,1.7,0.7,304.0,0.0,6.8,n/a,n/a,0
Juillet,24.7,12.6,26.4,0,15.7,2.3,1.0,0.4,338.8,0.0,0.1,n/a,n/a,0
Août,24.4,11.6,26.7,0,31.1,3.3,1.6,0.8,307.8,0.0,0.1,n/a,n/a,0
Septembre,20.6,3.5,16.3,0,80.1,5.5,3.3,2.1,238.7,0.0,10.1,n/a,n/a,0
Octobre,16.5,0.1,4.5,0,100.7,7.3,4.3,2.5,180.3,0.1,76.8,n/a,n/a,0
Novembre,11.9,0,0.1,0.5,71.8,6.9,3.5,1.8,144.7,0.1,183.7,n/a,n/a,0
Décembre,9.0,0,0,1.7,55.8,5.9,2.7,1.3,134.5,0.2,277.9,n/a,n/a,0.2
