# Station: MARIGNANE (13) - Altitude: 9m - Latitude: 43°26'15"N - Longitude: 5°12'57"E
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,7.7,0,0,7.2,47.1,5.1,2.6,1.3,147.9,0.5,319.7,n/a,n/a,0.9
Février,8.3,0,0,5.1,29.8,4.6,2.0,0.9,173.1,0.7,275.5,n/a,n/a,0.5
Mars,11.4,0,0.0,1.2,29.5,4.2,1.9,0.8,234.7,1.0,203.7,n/a,n/a,0.0
Avril,14.3,0,1.1,0,51.6,5.8,2.9,1.7,250.8,0.6,112.3,n/a,n/a,0.0
Mai,18.4,0.8,10.0,0,37.7,4.4,2.0,1.3,298.6,0.3,26.9,n/a,n/a,0
Juin,22.5,8.6,23.7,0,27.9,2.8,1.5,0.9,337.8,0.4,1.5,n/a,n/a,0
Juillet,25.2,20.1,30.0,0,10.8,1.4,0.6,0.3,372.2,0.1,0,n/a,n/a,0
Août,24.9,18.1,30.1,0,25.8,2.7,1.2,0.7,333.8,0.2,0,n/a,n/a,0
Septembre,20.9,2.9,19.4,0,82.0,4.8,3.2,2.3,263.7,0.2,6.3,n/a,n/a,0
Octobre,17.0,0.1,4.4,0,73.3,5.9,3.6,2.3,196.1,0.7,57.9,n/a,n/a,0
Novembre,11.7,0,0,1.2,75.9,7.0,4.2,2.2,150.8,0.7,189.2,n/a,n/a,0.3
Décembre,8.4,0,0,5.6,40.9,4.7,2.2,1.0,138.1,0.9,297.7,n/a,n/a,0.2
