# Station: ROUEN-BOOS (76) - Altitude: 151m - Latitude: 49°22'48"N - Longitude: 1°10'48"E
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,4.8,0,0,9.5,76.5,12.8,4.8,1.5,61.5,0.3,408.5,n/a,n/a,3.5
Février,5.1,0,0,8.5,61.8,11.0,3.7,1.2,80.5,0.3,363.1,n/a,n/a,3.7
Mars,7.7,0,0,4.3,64.5,11.2,3.9,1.3,121.9,0.2,319.3,n/a,n/a,1.8
Avril,10.2,0,0.6,1.4,57.7,10.1,3.4,1.1,165.0,0.1,235.1,n/a,n/a,0.7
Mai,13.5,0.1,2.2,0.1,69.0,10.3,4.0,1.8,188.9,0.0,144.5,n/a,n/a,0
Juin,16.4,0.7,4.3,0,65.9,9.5,3.8,1.6,196.5,0.0,71.3,n/a,n/a,0
Juillet,18.7,1.8,8.1,0,63.6,8.7,3.4,1.4,205.8,0.0,26.0,n/a,n/a,0
Août,18.7,1.9,8.2,0,61.8,8.8,3.2,1.3,199.8,0.0,23.8,n/a,n/a,0
Septembre,15.7,0.2,2.8,0,68.1,9.3,3.7,1.5,159.0,0.0,83.9,n/a,n/a,0
Octobre,11.9,0,0.2,0.7,76.8,11.2,4.0,1.7,108.8,0.1,191.8,n/a,n/a,0
Novembre,8.0,0,0,3.7,80.9,12.9,4.5,1.8,66.5,0.2,300.5,n/a,n/a,1.2
Décembre,5.4,0,0,8.5,92.9,13.5,5.0,2.0,49.9,0.3,389.4,n/a,n/a,2.8
