# Station: BELLE ILE-LE TALUT (56) - Altitude: 34m - Latitude: 47°17'39"N - Longitude: 3°13'05"O
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,8.2,0,0,2.0,81.0,12.4,5.6,2.2,n/a,3.4,304.2,n/a,n/a,n/a
Février,7.9,0,0,1.7,59.2,9.7,4.7,1.5,n/a,2.0,284.9,n/a,n/a,n/a
Mars,9.5,0,0,0.2,48.4,9.4,3.2,1.2,n/a,1.0,265.0,n/a,n/a,n/a
Avril,11.2,0,0,0,47.2,8.9,3.4,1.3,n/a,0.8,202.9,n/a,n/a,n/a
Mai,14.0,0,0.7,0,43.3,7.8,3.1,0.9,n/a,0.4,127.5,n/a,n/a,n/a
Juin,16.6,0.1,2.3,0,34.4,6.6,2.1,0.8,n/a,0.2,55.5,n/a,n/a,n/a
Juillet,18.3,0.4,4.3,0,37.1,6.6,2.1,0.9,n/a,0.1,21.3,n/a,n/a,n/a
Août,18.6,0.3,3.4,0,40.3,6.7,2.8,1.2,n/a,0.2,14.7,n/a,n/a,n/a
Septembre,17.0,0,1.1,0,53.0,7.1,3.4,1.6,n/a,0.3,43.2,n/a,n/a,n/a
Octobre,14.4,0,0,0,71.7,11.9,4.7,2.0,n/a,1.1,112.4,n/a,n/a,n/a
Novembre,11.4,0,0,0,83.6,13.6,6.0,2.2,n/a,1.9,198.5,n/a,n/a,n/a
Décembre,9.1,0,0,1.2,81.6,13.5,5.8,2.3,n/a,3.4,276.6,n/a,n/a,n/a
