# Station: BORDEAUX-MERIGNAC (33) - Altitude: 47m - Latitude: 44°49'50"N - Longitude: 0°41'28"O
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,7.1,0,0,7.3,86.9,12.2,5.8,3.0,89.8,0.1,337.6,n/a,n/a,n/a
Février,7.8,0,0,6.3,66.9,10.1,4.7,2.2,117.4,0.3,289.4,n/a,n/a,n/a
Mars,10.7,0,0.3,1.8,63.3,10.7,4.8,1.8,170.2,0.1,226.7,n/a,n/a,n/a
Avril,13.0,0.1,2.0,0.1,75.6,11.2,5.3,2.3,186.0,0.0,152.9,n/a,n/a,n/a
Mai,16.6,1.2,7.9,0,71.1,10.0,4.6,2.3,220.8,0.0,69.5,n/a,n/a,n/a
Juin,19.8,4.6,14.5,0,70.4,8.3,4.4,2.3,237.7,0.0,18.3,n/a,n/a,n/a
Juillet,21.7,8.1,20.9,0,48.6,7.1,2.9,1.3,256.0,0.1,3.7,n/a,n/a,n/a
Août,21.9,8.7,21.3,0,56.7,7.0,3.2,1.6,248.8,0.0,2.2,n/a,n/a,n/a
Septembre,18.8,2.7,12.5,0,81.2,9.3,4.6,2.7,208.8,0.0,25.9,n/a,n/a,n/a
Octobre,15.2,0.1,2.8,0.1,83.3,10.7,5.4,2.5,150.3,0.1,99.0,n/a,n/a,n/a
Novembre,10.4,0,0,1.9,114.5,13.3,7.4,4.4,100.0,0.1,228.3,n/a,n/a,n/a
Décembre,7.7,0,0,5.8,106.4,12.7,6.8,3.9,84.1,0.2,320.5,n/a,n/a,n/a
