# Station: NICE - Altitude: 2m - Latitude: 43°38'55"N - Longitude: 7°12'32"E
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,9.5,0,0,0.3,73.5,5.8,3.4,2.2,156.7,0.0,262.3,0.9,0.0,0.3
Février,9.8,0,0,0.5,53.6,5.1,3.0,1.7,166.1,0.0,231.9,1.3,0.1,0.7
Mars,11.8,0,0,0.1,51.0,4.9,2.8,1.8,218.0,0.0,191.6,1.1,0.1,0.0
Avril,14.1,0,0.1,0,68.8,6.4,3.7,2.4,229.2,0.0,118.4,1.6,0.0,0.0
Mai,17.7,0,2.1,0,40.3,5.1,2.4,1.2,270.9,0.0,31.2,2.3,0.0,0.0
Juin,21.4,0.8,13.3,0,35.7,3.8,1.8,0.9,309.8,0.0,1.8,2.9,0.1,0.0
Juillet,24.1,3.4,27.4,0,13.6,1.8,0.7,0.4,349.3,0.0,0.0,2.4,0.0,0.0
Août,24.5,3.8,29.7,0,17.2,2.3,0.9,0.5,323.2,0.1,0.0,3.5,0.0,0.0
Septembre,21.2,0.5,14.6,0,81.0,4.9,3.2,2.3,249.8,0.0,2.5,3.9,0.1,0.0
Octobre,17.5,0,1.0,0,127.9,7.5,4.9,3.6,191.1,0.0,35.8,4.0,0.0,0.0
Novembre,13.3,0,0,0,138.4,8.5,5.6,4.5,151.5,0.0,140.1,3.2,0.1,0.0
Décembre,10.3,0,0,0.2,90.3,6.0,3.7,2.5,145.2,0.1,237.5,1.0,0.0,0.2
