# Station: PARIS-MONTSOURIS (75) - Altitude: 75m - Latitude: 48°49'18"N - Longitude: 2°20'16"E
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,5.4,0,0,7.0,47.6,9.9,3.3,0.9,59.0,0.1,390.6,n/a,n/a,n/a
Février,6.0,0,0,5.3,41.8,9.1,2.7,0.8,83.7,0.1,337.8,n/a,n/a,n/a
Mars,9.2,0,0,1.4,45.2,9.5,3.1,0.8,134.9,0,272.7,n/a,n/a,n/a
Avril,12.2,0,1.8,0.1,45.8,8.6,3.0,1.1,177.3,0,176.7,n/a,n/a,n/a
Mai,15.6,0.4,5.6,0,69.0,9.2,4.2,2.1,201.0,0,91.5,n/a,n/a,n/a
Juin,18.8,2.5,10.3,0,51.3,8.3,3.5,1.7,203.5,0,29.2,n/a,n/a,n/a
Juillet,20.9,5.5,16.7,0,59.4,7.4,3.5,1.7,222.4,0,8.2,n/a,n/a,n/a
Août,20.8,5.0,15.3,0,58.0,8.1,3.6,1.7,215.3,0.0,7.0,n/a,n/a,n/a
Septembre,17.2,0.6,5.2,0,44.7,7.5,3.2,1.1,174.7,0,47.6,n/a,n/a,n/a
Octobre,13.2,0,0.6,0.1,55.2,9.5,3.6,1.5,118.6,0.0,151.8,n/a,n/a,n/a
Novembre,8.7,0,0,1.6,54.3,10.4,3.9,1.2,69.8,0,279.7,n/a,n/a,n/a
Décembre,5.9,0,0,5.4,62.0,11.4,4.6,1.4,56.9,0.1,375.2,n/a,n/a,n/a
