# Station: RENNES-ST JACQUES (35) - Altitude: 36m - Latitude: 48°04'07"N - Longitude: 1°44'02"O
# Période de référence: 1991-2020
mois,temp_moyenne,jours_max30,jours_max25,jours_min0,precipitation_moyenne,jours_pluie_1mm,jours_pluie_5mm,jours_pluie_10mm,insolation_heures,jours_rafales_28ms,degres_jours_unifies,jours_orage,jours_grele,jours_neige
Janvier,6.2,0,0,7.7,66.6,11.5,4.7,1.7,68.3,0.1,365.1,n/a,n/a,n/a
Février,6.6,0,0,7.4,51.6,10.1,3.8,1.1,92.7,0.0,323.0,n/a,n/a,n/a
Mars,8.8,0,0,3.5,48.9,8.9,3.4,1.1,134.1,0,283.7,n/a,n/a,n/a
Avril,11.0,0,0.7,1.0,51.2,9.9,3.6,1.2,173.8,0.1,210.2,n/a,n/a,n/a
Mai,14.3,0.1,3.1,0.0,58.1,8.9,3.9,1.7,202.1,0,120.4,n/a,n/a,n/a
Juin,17.3,1.6,7.5,0,50.9,7.4,3.5,1.4,213.3,0,47.5,n/a,n/a,n/a
Juillet,19.2,3.1,13.8,0,44.0,7.1,2.9,1.2,220.2,0,16.4,n/a,n/a,n/a
Août,19.3,3.2,12.2,0,43.5,7.1,2.8,1.0,207.2,0,15.6,n/a,n/a,n/a
Septembre,16.6,0.9,5.8,0,56.6,7.8,4.2,1.7,180.7,0.0,58.1,n/a,n/a,n/a
Octobre,13.2,0.0,0.4,0.3,73.1,11.0,4.7,2.4,116.7,0.1,149.3,n/a,n/a,n/a
Novembre,9.2,0,0,2.8,73.2,12.5,5.1,2.0,83.5,0.1,263.8,n/a,n/a,n/a
Décembre,6.6,0,0,7.5,73.3,12.3,5.0,2.0,69.0,0.1,353.6,n/a,n/a,n/a
